Hello World!
text: 0000000010004190, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
1000 points done
Done... printing results
1 65
0 65
0 65
0 66
1 65
1 65
1 65
0 65
1 65
0 65
1 65
0 65
1 65
1 65
1 65
0 65
1 65
1 65
1 65
0 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
1 65
0 65
0 65
0 65
1 65
1 65
1 65
0 65
1 65
0 65
1 65
1 65
0 74
1 65
0 65
0 65
1 65
1 65
1 65
1 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
0 65
1 65
0 65
1 65
1 74
0 65
0 65
0 65
1 65
0 65
0 65
0 65
1 65
1 65
1 65
0 65
1 65
1 65
1 65
1 65
1 65
0 65
0 65
0 65
1 65
1 65
0 65
1 65
1 65
1 65
0 65
0 70
0 65
1 65
0 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
0 74
1 66
1 65
1 65
1 65
0 65
1 65
1 65
1 65
0 65
1 65
0 65
0 65
0 69
1 65
0 65
0 65
0 65
1 65
0 65
0 65
1 65
1 65
0 66
1 65
0 65
0 65
1 75
1 65
0 65
1 65
1 65
1 65
1 65
1 65
1 65
0 74
1 65
0 65
0 65
0 65
0 65
1 65
0 66
0 65
0 65
0 65
0 65
0 65
1 65
1 74
0 65
0 65
0 65
0 65
1 65
1 65
1 65
0 65
1 65
0 65
1 65
0 65
0 65
0 65
1 65
0 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
0 65
0 65
0 65
1 65
0 65
0 65
0 65
0 65
1 65
0 65
1 65
1 65
0 65
1 65
0 65
0 65
0 65
0 65
1 75
1 65
1 65
0 65
1 65
0 65
1 65
0 65
1 65
0 65
0 76
1 65
1 65
0 65
0 65
1 65
1 65
0 65
1 65
1 65
0 65
1 65
1 65
1 65
0 65
0 65
1 65
0 66
0 65
0 65
1 65
1 65
1 65
0 65
1 65
1 65
1 70
1 65
0 65
1 65
1 65
1 65
0 65
1 65
1 65
1 74
0 65
0 65
0 65
0 65
1 65
0 65
0 65
0 65
0 66
1 65
0 65
0 65
0 65
1 65
1 65
1 65
0 65
1 75
0 65
0 65
0 65
0 65
1 65
0 65
1 65
0 65
1 65
0 65
1 65
0 65
0 65
0 65
0 65
0 65
0 65
1 65
1 65
1 65
0 74
0 65
0 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
1 76
1 65
1 65
0 65
1 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
1 65
0 65
0 65
0 65
0 65
0 65
0 64
0 65
1 65
0 65
0 65
1 65
1 65
1 65
1 65
1 65
1 65
0 65
1 65
1 66
0 65
1 65
1 65
1 65
1 65
0 65
1 65
0 65
0 65
1 65
1 65
0 65
0 74
1 65
0 65
0 65
1 65
0 65
0 65
0 65
0 65
1 65
1 65
0 65
1 65
1 65
0 65
0 65
0 65
0 65
1 65
1 65
1 65
1 65
1 65
0 65
0 76
0 65
0 65
0 65
0 65
1 65
0 65
0 65
1 65
0 65
0 65
1 65
0 65
1 65
1 65
0 65
0 65
0 65
0 65
1 65
1 65
1 70
0 65
1 65
1 65
0 65
0 65
0 65
1 65
0 65
1 65
1 65
0 65
0 65
0 65
1 65
0 65
0 65
0 65
0 65
1 65
0 65
0 74
0 65
0 65
0 65
0 65
0 65
0 65
0 65
1 65
0 66
1 65
1 65
0 65
0 65
1 65
0 65
1 65
1 65
1 65
0 65
1 65
0 69
1 65
1 65
0 65
0 65
0 65
0 65
0 65
0 65
0 65
0 65
1 65
0 65
1 65
1 65
1 65
0 65
0 65
1 65
1 65
0 65
1 66
0 65
0 65
1 65
0 65
1 65
0 65
0 65
1 65
1 65
1 65
0 65
1 65
0 65
0 65
1 65
0 65
1 70
1 65
1 65
1 65
0 65
1 65
1 65
1 65
0 65
0 65
1 65
1 65
1 65
0 65
0 65
0 65
0 65
1 65
0 65
1 65
1 65
0 65
0 65
0 65
0 65
0 65
0 65
0 65
1 65
0 65
0 65
0 65
0 65
0 65
0 65
1 65
1 65
1 65
1 65
0 65
1 65
0 69
1 65
0 65
0 65
0 65
0 66
0 65
0 65
1 65
0 65
0 65
1 65
1 65
0 65
1 65
1 65
1 65
1 69
1 65
0 65
1 65
0 65
1 65
0 65
1 65
1 65
1 65
1 65
1 65
1 65
1 65
1 65
0 65
1 65
0 65
1 65
0 70
0 65
1 65
0 65
1 65
1 65
1 65
1 65
0 65
1 65
1 65
0 65
1 65
1 65
0 65
0 65
0 65
1 65
0 65
0 65
1 65
1 65
1 65
1 70
0 65
0 65
0 65
0 65
1 65
1 65
0 65
1 65
0 65
1 65
1 65
1 65
1 74
1 65
1 65
0 65
1 65
0 65
1 65
0 65
1 65
1 65
0 76
1 65
1 65
1 65
1 65
1 65
1 65
0 65
0 65
0 65
1 65
0 65
0 65
1 70
1 65
1 65
1 65
1 65
1 65
1 65
0 65
1 65
0 74
1 65
1 65
1 65
0 65
0 65
0 65
0 65
1 65
0 65
0 66
1 65
0 65
1 65
1 65
0 65
1 65
0 69
0 65
1 65
0 65
0 65
0 66
0 65
0 65
0 65
1 65
0 65
0 65
1 65
0 65
0 65
0 65
0 65
1 65
1 65
1 65
0 65
0 65
0 75
1 65
0 65
1 65
0 65
1 65
0 65
0 65
0 65
0 65
0 65
0 66
0 66
0 65
0 65
0 65
0 64
1 65
0 65
1 65
1 65
