Hello World!
text: 0000000010004190, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
1000 points done
Done... printing results
43 2448
14 2434
60 2437
48 2433
57 2446
3 2437
7 2446
14 2434
61 2436
10 2433
53 2429
34 2431
69 2433
67 2446
63 2437
14 2436
61 2437
51 2431
63 2446
54 2438
68 2436
24 2436
49 2433
27 2433
15 2430
63 2436
14 2438
28 2446
57 2439
43 2430
15 2434
63 2446
14 2434
29 2431
58 2436
44 2448
48 2431
57 2437
3 2429
7 2436
46 2436
21 2442
2 2444
5 2435
43 2433
46 2436
53 2433
34 2438
28 2452
17 2451
67 2430
63 2436
55 2438
39 2448
39 2430
38 2431
36 2438
33 2429
67 2436
63 2439
14 2436
61 2438
10 2449
53 2437
35 2450
30 2438
60 2431
48 2438
25 2434
10 2434
52 2436
64 2438
57 2452
3 2434
7 2448
46 2438
53 2430
35 2433
31 2437
63 2439
55 2449
70 2437
28 2434
16 2452
65 2434
19 2434
70 2438
69 2438
67 2436
23 2434
6 2437
44 2438
16 2435
65 2437
58 2433
5 2436
43 2430
14 2436
28 2433
57 2446
3 2438
7 2446
15 2434
30 2449
20 2434
1 2441
35 2434
71 2430
31 2431
22 2430
5 2435
43 2438
47 2436
22 2431
45 2438
18 2437
68 2436
24 2431
49 2433
58 2436
4 2436
40 2436
9 2433
18 2450
36 2433
33 2448
67 2438
22 2446
5 2437
10 2438
20 2450
1 2429
35 2438
30 2430
21 2436
43 2436
15 2436
63 2436
15 2436
63 2436
14 2436
29 2430
18 2449
68 2439
24 2434
48 2438
57 2431
42 2446
12 2433
24 2430
8 2433
16 2437
32 2436
65 2437
19 2438
38 2433
4 2443
40 2430
40 2436
9 2436
51 2430
31 2440
62 2436
13 2446
58 2439
45 2430
50 2438
60 2436
8 2436
49 2432
58 2436
4 2436
8 2444
49 2438
27 2436
55 2440
39 2433
6 2436
44 2431
16 2438
32 2429
65 2437
58 2438
44 2437
16 2433
64 2436
17 2434
34 2436
69 2451
67 2438
62 2437
13 2436
58 2436
4 2443
8 2436
48 2436
25 2434
11 2431
23 2431
46 2438
21 2436
2 2430
5 2437
10 2430
21 2433
2 2441
36 2438
33 2430
27 2430
54 2438
36 2437
1 2443
3 2432
38 2436
5 2438
11 2429
22 2436
45 2437
51 2432
31 2433
22 2431
4 2436
9 2436
50 2449
28 2437
56 2438
41 2431
11 2436
55 2436
70 2436
29 2436
59 2434
7 2436
15 2435
62 2438
53 2430
67 2446
63 2436
54 2437
69 2436
27 2436
55 2436
38 2430
36 2432
32 2437
64 2452
17 2452
66 2434
60 2438
8 2434
48 2430
57 2452
42 2438
12 2434
56 2437
41 2438
11 2434
23 2433
6 2433
45 2438
50 2429
28 2429
16 2436
64 2436
17 2436
66 2434
61 2436
10 2429
53 2438
66 2438
61 2439
10 2434
52 2433
64 2438
56 2431
40 2438
8 2436
17 2436
67 2452
63 2438
54 2430
36 2431
0 2431
33 2434
67 2434
62 2433
52 2436
65 2452
19 2430
71 2436
71 2437
31 2436
63 2448
54 2433
37 2438
3 2443
39 2451
6 2437
44 2430
17 2436
67 2436
63 2435
15 2439
30 2436
61 2429
50 2438
28 2446
56 2438
40 2436
40 2452
40 2438
40 2451
9 2437
18 2433
36 2433
33 2438
27 2436
55 2446
39 2449
39 2429
39 2449
38 2430
37 2431
35 2433
30 2438
61 2438
11 2434
55 2437
71 2437
70 2437
69 2452
26 2430
12 2437
57 2436
3 2430
6 2436
44 2449
17 2438
34 2434
68 2430
65 2436
58 2440
44 2438
16 2434
64 2430
57 2433
43 2438
46 2437
53 2438
67 2436
22 2434
4 2435
40 2436
8 2446
49 2438
59 2452
47 2438
55 2431
71 2434
30 2436
20 2442
40 2433
40 2438
8 2436
16 2437
65 2434
18 2441
36 2431
1 2443
34 2448
68 2438
65 2438
18 2436
37 2436
3 2431
6 2436
12 2430
56 2452
0 2432
1 2441
35 2433
31 2431
62 2438
53 2429
35 2431
70 2430
28 2430
16 2436
65 2434
18 2438
69 2437
67 2436
62 2438
52 2429
32 2430
65 2434
58 2438
4 2437
8 2436
16 2436
65 2437
58 2437
44 2448
48 2431
24 2430
8 2434
48 2433
24 2430
48 2438
24 2436
49 2436
58 2440
5 2436
43 2438
14 2434
60 2433
9 2439
18 2431
37 2436
3 2429
39 2438
6 2434
45 2430
50 2436
29 2446
59 2452
46 2438
52 2430
32 2431
64 2446
56 2438
40 2436
40 2431
8 2446
17 2438
34 2438
69 2440
67 2438
63 2437
54 2432
36 2438
1 2427
35 2438
70 2436
29 2430
18 2436
36 2438
1 2427
34 2438
69 2436
26 2436
12 2430
57 2452
43 2438
47 2452
22 2436
5 2436
42 2430
12 2437
25 2451
50 2451
29 2437
59 2452
47 2436
23 2432
46 2452
53 2436
35 2436
31 2438
22 2437
4 2436
9 2450
19 2436
71 2437
30 2436
60 2436
8 2437
16 2435
33 2436
26 2433
53 2437
67 2435
62 2438
52 2438
64 2436
16 2433
64 2436
56 2440
0 2440
1 2430
2 2441
36 2452
0 2427
32 2438
24 2437
8 2450
49 2436
27 2438
15 2433
63 2437
14 2434
29 2433
58 2436
5 2436
42 2430
44 2438
16 2437
32 2437
64 2434
56 2431
1 2431
2 2441
36 2451
33 2436
67 2431
62 2438
53 2429
35 2431
71 2430
71 2434
71 2435
30 2434
61 2433
50 2432
29 2433
58 2436
45 2433
19 2430
71 2434
31 2431
23 2438
7 2433
15 2436
